"","studygroup","pellgrant","science","socsci","specificity","constructiveness","positivity","whitestudent","female","relgrade","femalefaculty","facultygrades","yrs_experience","class_size","student_num"
"1",2,1,1,0,3.33333325386047,4.33333349227905,2.33333325386047,0,1,0.986666679382324,0,1.01759564876556,3,3,749
"2",3,0,1,0,3.33333325386047,3,5,1,0,0.951831519603729,0,1.01759564876556,3,1,1304
"3",3,0,1,0,2.33333325386047,2.66666674613953,5,1,1,1.01704239845276,0,1.01759564876556,3,3,779
"4",3,1,1,0,4,2.66666674613953,2,1,1,0.997304618358612,0,1.01759564876556,3,3,332
"5",3,0,1,0,4.66666650772095,2.66666674613953,5,1,1,1.05714285373688,0,1.01759564876556,3,2,1090
"6",1,1,1,0,3.33333325386047,3,5,1,0,1.0036495923996,0,1.01759564876556,3,3,945
"7",1,0,1,0,1.33333337306976,2.33333325386047,4.66666650772095,1,0,1.01910829544067,0,1.01759564876556,3,3,394
"8",1,0,1,0,1.66666662693024,2.33333325386047,3,0,1,1.01886796951294,0,1.01759564876556,3,3,1282
"9",2,0,1,0,1.66666662693024,1.66666662693024,5,1,0,1.59036147594452,0,1.01759564876556,3,2,914
"10",1,1,1,0,2.33333325386047,3.33333325386047,4,0,1,1.07700598239899,0,1.01759564876556,3,3,446
"11",1,1,1,0,2.66666674613953,2.66666674613953,4.66666650772095,0,1,1.10119044780731,0,1.01759564876556,3,3,89
"12",1,0,1,0,3.33333325386047,2.66666674613953,5,1,1,1,0,1.01759564876556,3,2,942
"13",1,0,1,0,2.66666674613953,2.66666674613953,5,1,1,0.87347799539566,0,1.01759564876556,3,1,976
"14",2,0,1,0,2.33333325386047,4,4.33333349227905,1,1,1.1297709941864,0,1.01759564876556,3,2,624
"15",2,0,1,0,3.33333325386047,3,4,1,1,0.961038947105408,0,1.01759564876556,3,3,642
"16",3,1,1,0,3.33333325386047,2.66666674613953,5,1,0,1.01910829544067,0,1.01759564876556,3,3,523
"17",3,0,1,0,2.33333325386047,2,5,1,1,1.05876123905182,0,1.01759564876556,3,3,976
"18",1,1,1,0,4,2.66666674613953,5,0,1,0.857142865657806,0,1.01759564876556,3,2,1263
"19",3,0,1,0,2,2,5,0,0,0.923076927661896,0,1.01759564876556,3,1,813
"20",1,1,1,0,3.66666674613953,3.66666674613953,4.33333349227905,0,1,1.12264943122864,0,1.01759564876556,3,3,139
"21",3,0,1,0,3,2.33333325386047,5,1,0,1.23711335659027,0,1.01759564876556,3,2,921
"22",1,0,1,0,4,3,4.66666650772095,1,1,0.808407425880432,0,1.01759564876556,3,1,1114
"23",1,0,1,0,2.33333325386047,2.33333325386047,5,0,1,1.04058277606964,0,1.01759564876556,3,2,437
"24",3,0,1,0,3.66666674613953,3,5,1,1,0.99703586101532,0,1.01759564876556,3,2,1114
"25",1,0,1,0,4,2.66666674613953,5,1,1,1.00680267810822,0,1.01759564876556,3,2,913
"26",2,0,1,0,2.33333325386047,1.66666662693024,5,1,1,0.976768732070923,0,1.01759564876556,3,3,800
"27",1,0,1,0,1,2,4.66666650772095,1,1,1.05263161659241,0,1.01759564876556,3,3,814
"28",2,0,1,0,2.33333325386047,2.33333325386047,5,1,1,0.816326558589935,0,1.01759564876556,3,1,913
"29",2,0,1,0,1.66666662693024,2,5,1,1,0.870967745780945,0,1.01759564876556,3,1,422
"30",2,0,1,0,2.66666674613953,2.33333325386047,5,1,1,0.946291565895081,0,1.01759564876556,3,3,163
"31",1,0,1,0,4.66666650772095,3.33333325386047,5,1,1,1,0,1.01759564876556,3,1,507
"32",3,0,1,0,4.66666650772095,4.33333349227905,4,1,0,0.963541686534882,0,1.01759564876556,3,3,715
"33",2,0,1,0,1.33333337306976,1.66666662693024,4.33333349227905,1,1,1.06451606750488,0,1.01759564876556,3,3,422
"34",3,0,1,0,1.66666662693024,2,5,1,0,1.01910829544067,0,1.01759564876556,3,2,1361
"35",1,0,1,0,2.66666674613953,3,4.66666650772095,1,1,1.01910829544067,0,1.01759564876556,3,2,1145
"36",3,0,1,0,4.33333349227905,3,5,1,1,1.04904270172119,0,1.01759564876556,3,3,464
"37",2,1,0,1,1,1.66666662693024,5,0,0,1,0,1.00712335109711,3,2,1150
"38",1,0,0,1,3.66666674613953,3.66666674613953,4,1,1,1,0,1.00712335109711,3,3,1248
"39",3,1,0,1,2.66666674613953,2.33333325386047,5,0,1,0.973684251308441,0,1.00712335109711,3,3,1325
"40",2,0,0,1,2,2,5,1,1,0.923076927661896,0,1.00712335109711,3,2,1386
"41",1,0,0,1,2.33333325386047,2.66666674613953,5,1,0,1.01910829544067,0,1.00712335109711,3,3,1269
"42",2,0,0,1,3.33333325386047,2.33333325386047,5,0,0,1.02564108371735,0,1.00712335109711,3,3,1328
"43",2,1,0,1,4.33333349227905,3.66666674613953,2.33333325386047,1,1,1.02777779102325,0,1.00712335109711,3,3,1057
"44",3,0,0,1,4.33333349227905,3,5,1,1,1.05714285373688,0,1.00712335109711,3,3,581
"45",2,0,0,1,4.66666650772095,3.33333325386047,4.66666650772095,1,1,0.942675173282623,0,1.00712335109711,3,3,620
"46",3,0,0,1,1,1.66666662693024,4.66666650772095,1,1,0.932203352451324,0,1.00712335109711,3,3,1338
"47",1,1,0,1,2.33333325386047,3,4,1,0,0.961038947105408,0,1.00712335109711,3,2,1236
"48",2,0,0,1,4.33333349227905,3.33333325386047,2.33333325386047,1,1,0.879999995231628,0,1.00712335109711,3,2,1239
"49",2,0,0,1,4.66666650772095,4.33333349227905,4.33333349227905,1,1,1.11888110637665,0,1.00712335109711,3,3,452
"50",2,0,0,1,2.66666674613953,2.66666674613953,5,0,1,1.11223459243774,0,1.00712335109711,3,3,675
"51",1,0,0,1,3.33333325386047,1.66666662693024,5,1,0,0.961038947105408,0,1.00712335109711,3,3,1137
"52",3,0,0,1,1.33333337306976,1.66666662693024,5,1,0,1.23333334922791,0,1.00712335109711,3,2,1288
"53",1,0,0,1,1.66666662693024,2.33333325386047,4.33333349227905,1,0,1.04575169086456,0,1.00712335109711,3,3,390
"54",1,0,0,1,1.33333337306976,2.33333325386047,5,1,0,1.11278200149536,0,1.00712335109711,3,2,1262
"55",3,0,0,1,3.66666674613953,4,3.66666674613953,1,0,0.961038947105408,0,1.00712335109711,3,2,1336
"56",1,1,0,1,3.66666674613953,2.66666674613953,4.66666650772095,0,1,0.986666679382324,0,1.00712335109711,3,3,1323
"57",1,0,0,1,1.66666662693024,1.66666662693024,5,1,1,0.973684251308441,0,1.00712335109711,3,2,1251
"58",2,0,0,1,3.33333325386047,2.66666674613953,5,1,0,0.953608274459839,0,1.00712335109711,3,2,1404
"59",2,0,0,1,1,1.66666662693024,5,1,0,1,0,1.00712335109711,3,2,1224
